(0,1)
(1,2)
(2,0)
(3,1)
(3,2)
(4,0)
(4,2)
(4,3)
(5,2)
(5,4)
(6,0)
(6,4)
(7,3)
(7,4)
(8,0)
(8,2)
(8,3)
(9,0)
(9,2)
(10,0)
(10,3)
(11,1)
(11,2)
(12,0)
(12,3)
(13,2)
(13,8)
(13,10)
(14,2)
(14,3)
(14,13)
(15,0)
(15,2)
(16,2)
(16,7)
(16,12)
(17,1)
(17,2)
(17,7)
(18,4)
(18,7)
(18,12)
(19,0)
(19,2)
(19,8)
(20,2)
(20,4)
(21,2)
(21,6)
(21,7)
(22,0)
(22,21)
(22,10)
(23,5)
(23,22)
(23,15)
(24,17)
(24,4)
(24,13)
(25,0)
(25,7)
(25,8)
(26,0)
(26,2)
(26,19)
(27,0)
(27,1)
(27,18)
(28,16)
(28,2)
(28,12)
(29,2)
(29,3)
(29,13)
(30,22)
(30,8)
(30,13)
(31,20)
(31,26)
(31,13)
(32,16)
(32,8)
(32,12)
(33,2)
(33,7)
(34,0)
(34,20)
(34,5)
(35,1)
(35,2)
(35,14)
(36,16)
(36,17)
(36,29)
(37,6)
(37,23)
(37,29)
(38,1)
(38,34)
(38,14)
(39,32)
(39,17)
(39,2)
(40,18)
(40,14)
(40,15)
(41,2)
(41,8)
(41,10)
(42,1)
(42,29)
(42,14)
(43,18)
(43,40)
(43,29)
(44,21)
(44,5)
(44,12)
(45,0)
(45,2)
(45,12)
(46,17)
(46,2)
(46,29)
(47,16)
(47,2)
(48,22)
(48,25)
(48,42)
(49,2)
(49,21)
(49,8)
(50,0)
(50,2)
(50,8)
(51,37)
(51,8)
(51,12)
(52,19)
(52,3)
(52,6)
(53,17)
(53,37)
(53,13)
(54,0)
(54,42)
(54,29)
(55,0)
(55,8)
(55,30)
(56,17)
(56,18)
(56,5)
(57,12)
(57,13)
(57,31)
(58,25)
(58,13)
(58,31)
(59,1)
(59,12)
(59,13)
(60,2)
(60,8)
(60,25)
(61,2)
(61,21)
(61,25)
(62,57)
(62,13)
(62,29)
(63,6)
(63,22)
(64,2)
(64,35)
(64,4)
(65,2)
(65,40)
(65,12)
(66,17)
(66,7)
(66,61)
(67,55)
(67,12)
(68,0)
(68,5)
(68,8)
(69,2)
(69,7)
(69,41)
(70,50)
(70,6)
(70,42)
(71,1)
(71,4)
(71,30)
(72,64)
(72,35)
(72,61)
(73,17)
(73,21)
(73,57)
(74,64)
(74,7)
(74,13)
(75,18)
(75,21)
(75,24)
(76,17)
(76,1)
(76,25)
(77,67)
(77,19)
(77,38)
(78,1)
(78,20)
(78,75)
(79,68)
(79,56)
(79,73)
(80,4)
(80,44)
(81,64)
(81,20)
(81,29)
(82,81)
(82,25)
(82,76)
(83,3)
(83,71)
(83,7)
(84,0)
(84,52)
(84,63)
(85,64)
(85,65)
(85,68)
(86,66)
(86,18)
(86,37)
(87,4)
(87,76)
(87,30)
(88,32)
(88,18)
(88,21)
(89,85)
(89,38)
(89,86)
(90,2)
(90,41)
(91,66)
(91,51)
(91,53)
(92,81)
(92,50)
(92,77)
(93,0)
(93,66)
(93,72)
(94,24)
(94,89)
(94,74)
(95,32)
(95,17)
(95,1)
(96,0)
(96,34)
(96,20)
(97,22)
(97,60)
(97,79)
(98,16)
(98,2)
(98,78)
(99,2)
(99,71)
(99,14)
(100,3)
(100,68)
(100,28)
(101,0)
(101,17)
(102,2)
(102,25)
(102,79)
(103,17)
(103,20)
(103,42)
(104,1)
(104,38)
(104,25)
(105,100)
(105,101)
(105,90)
(106,2)
(106,6)
(106,73)
(107,98)
(107,68)
(107,40)
(108,64)
(108,51)
(108,56)
(109,67)
(109,41)
(109,29)
(110,4)
(110,29)
(110,94)
(111,0)
(111,2)
(111,67)
(112,51)
(112,58)
(112,43)
(113,38)
(113,25)
(113,75)
(114,89)
(114,106)
(114,79)
(115,2)
(115,98)
(115,77)
(116,39)
(116,12)
(116,30)
(117,51)
(117,29)
(117,94)
(118,0)
(118,96)
(118,98)
(119,112)
(119,2)
(119,18)
(120,17)
(120,42)
(120,30)
(121,17)
(121,18)
(121,53)
(122,6)
(122,73)
(122,57)
(123,0)
(123,37)
(123,25)
(124,2)
(124,8)
(124,77)
(125,8)
(125,40)
(125,105)
(126,2)
(126,115)
(126,30)
(127,0)
(127,98)
(127,3)
(128,81)
(128,49)
(128,18)
(129,2)
(129,35)
(129,55)
(130,64)
(130,66)
(130,27)
(131,100)
(131,10)
(131,60)
(132,64)
(132,2)
(132,43)
(133,8)
(133,123)
(133,30)
(134,35)
(134,25)
(134,14)
(135,21)
(135,56)
(135,14)
(136,100)
(136,40)
(136,25)
(137,54)
(137,122)
(137,77)
(138,61)
(138,45)
(138,14)
(139,51)
(139,85)
(139,61)
(140,7)
(140,137)
(140,12)
(141,0)
(141,129)
(141,8)
(142,18)
(142,21)
(142,43)
(143,48)
(143,3)
(143,79)
(144,1)
(144,20)
(144,61)
(145,1)
(145,117)
(146,98)
(146,51)
(147,21)
(147,108)
(147,95)
(148,26)
(148,94)
(148,127)
(149,67)
(149,122)
(149,76)
(150,132)
(150,53)
(150,94)
(151,2)
(151,21)
(151,8)
(152,64)
(152,68)
(152,28)
(153,17)
(153,4)
(153,41)
(154,8)
(154,90)
(154,14)
(155,58)
(155,125)
(155,93)
(156,0)
(156,10)
(157,37)
(157,88)
(157,43)
(158,5)
(158,57)
(158,62)
(159,0)
(159,148)
(159,100)
(160,98)
(160,101)
(160,61)
(161,51)
(161,89)
(161,26)
(162,98)
(162,30)
(162,143)
(163,18)
(163,105)
(163,89)
(164,4)
(164,85)
(164,55)
(165,40)
(165,154)
(165,31)
(166,7)
(166,155)
(166,46)
(167,20)
(167,85)
(167,91)
(168,2)
(168,131)
(168,8)
(169,2)
(169,154)
(169,31)
(170,98)
(170,66)
(170,29)
(171,2)
(171,4)
(171,77)
(172,124)
(172,108)
(172,62)
(173,2)
(173,8)
(174,100)
(174,12)
(174,30)
(175,51)
(175,37)
(175,89)
(176,20)
(176,43)
(176,174)
(177,0)
(177,1)
(177,103)
(178,1)
(178,21)
(178,14)
(179,17)
(179,165)
(179,87)
(180,81)
(180,37)
(180,14)
(181,20)
(181,70)
(181,8)
(182,17)
(182,165)
(182,15)
(183,8)
(183,168)
(183,143)
(184,55)
(184,28)
(184,125)
(185,132)
(185,122)
(185,174)
(186,97)
(186,37)
(186,43)
(187,160)
(187,69)
(187,24)
(188,20)
(188,85)
(188,7)
(189,2)
(189,3)
(189,42)
(190,117)
(190,89)
(190,45)
(191,128)
(191,40)
(191,29)
(192,112)
(192,37)
(192,7)
(193,0)
(193,85)
(193,74)
(194,4)
(194,148)
(194,43)
(195,113)
(195,117)
(195,108)
(196,2)
(196,98)
(196,190)
(197,114)
(197,51)
(197,25)
(198,18)
(198,186)
(198,122)
(199,0)
(199,51)
(199,127)
(200,64)
(200,129)
(200,152)
(201,2)
(201,199)
(201,91)
(202,194)
(202,55)
(202,151)
(203,66)
(203,20)
(203,91)
(204,0)
(204,16)
(204,19)
(205,65)
(205,82)
(205,12)
(206,84)
(206,73)
(206,31)
(207,37)
(207,123)
(207,159)
(208,117)
(208,31)
(208,15)
(209,21)
(209,117)
(209,105)
(210,19)
(210,84)
(210,79)
(211,66)
(211,98)
(211,168)
(212,0)
(212,114)
(212,45)
(213,0)
(213,21)
(213,31)
(214,38)
(214,25)
(214,123)
(215,4)
(215,25)
(215,111)
(216,0)
(216,5)
(216,24)
(217,23)
(217,200)
(217,30)
(218,49)
(218,22)
(218,40)
(219,70)
(219,57)
(219,186)
(220,16)
(220,179)
(220,4)
(221,20)
(221,168)
(221,122)
(222,148)
(222,52)
(222,217)
(223,131)
